,x,bDataA,bCDF_A,bDataB,bCDF_B,below,on,above,totals,losses,pushes,wins,LPWtotal
0,0,3.659517740467272e-14,3.659517741296786e-14,1.3391095218060369e-27,1.3391095224131099e-27,0.0,1.3391095218060369e-27,1.0,1.0,0.0,4.900495051477838e-41,3.659517740467272e-14,3.659517740467272e-14
1,1,1.132214382889742e-12,1.1688095771627842e-12,8.286133506267299e-26,8.42004458483303e-26,8.42004458483303e-26,2.56364409118143e-24,1.0,1.0,9.533295583520843e-38,2.902594712645916e-36,1.132214382889742e-12,1.132214382889742e-12
2,2,1.7514730367304823e-11,1.8683540216231967e-11,2.56364409118143e-24,2.6478445778115228e-24,5.552550761232357e-23,8.179899674204854e-22,1.0,1.0,9.725142943375788e-34,1.432687372253026e-32,1.7514730367304823e-11,1.7514730367304823e-11
3,3,1.8062877581499544e-10,1.9931232456848539e-10,5.287766053841263e-23,5.552550761232357e-23,1.0996619443995221e-20,1.0439942590616614e-19,1.0,1.0,1.9863059082722326e-30,1.885754049721911e-29,1.8062877581499544e-10,1.8062877581499544e-10
4,4,1.3971134245146317e-09,1.5964258143051318e-09,8.179899674204854e-22,8.73515513014775e-22,1.0382558102704374e-18,7.138078298182969e-18,1.0,1.0,1.4505611306091445e-27,9.972705015627981e-27,1.3971134245146317e-09,1.3971134245146317e-09
5,5,8.645027029473263e-09,1.0241453065791106e-08,1.0123103669486785e-20,1.0996619443995221e-20,5.725292556027221e-17,3.0367560520886403e-16,0.9999999999999997,1.0,4.9495308898497395e-25,2.625283815222281e-24,8.64502702947326e-09,8.645027029473263e-09
6,6,4.4577916253192134e-08,5.4819369757269926e-08,1.0439942590616614e-19,1.1539604636220385e-19,2.0691837225432847e-15,8.808601156123198e-15,0.9999999999999891,1.0,9.22398986960029e-23,3.9266908464543134e-22,4.457791625319165e-08,4.4577916253192134e-08
7,7,1.9702727487630275e-07,2.518466430905297e-07,9.228597706202543e-19,1.0382558102704374e-18,5.280529192983216e-14,1.85313221420135e-13,0.9999999999997619,1.0,1.0404082767982452e-20,3.651175901495809e-20,1.9702727487625582e-07,1.9702727487630272e-07
8,8,7.619753566808605e-07,1.013822035376654e-06,7.138078298182969e-18,8.176334442581076e-18,1.002571077287339e-12,2.9564183522820628e-12,0.9999999999960411,1.0,7.6393445421393465e-19,2.2527179284779665e-18,7.619753566778439e-07,7.619753566808605e-07
9,9,2.6194069589505674e-06,3.633229071780672e-06,4.907658967775587e-17,5.725292556027221e-17,1.4719980014614168e-11,3.699261509016621e-11,0.9999999999482874,1.0,3.855761808589363e-17,9.689871339696114e-17,2.619406958815111e-06,2.6194069589505674e-06
10,10,8.1041503405105e-06,1.1737379796804286e-05,3.0367560520886403e-16,3.60928545276791e-16,1.721875223061484e-10,3.7273646462342134e-10,0.999999999455076,1.0,1.3954335675290319e-15,3.02071234669858e-15,8.104150336094355e-06,8.1041503405105e-06
11,11,2.279393483475336e-05,3.4531315114758294e-05,1.7082551414378277e-15,2.0691837225432847e-15,1.6432158239426818e-09,3.089087538305812e-09,0.9999999952676967,1.0,3.745535441038504e-14,7.041246004699136e-14,2.2793934726885547e-05,2.279393483475336e-05
12,12,5.876821425459464e-05,9.329953275274679e-05,8.808601156123198e-15,1.0877785387145674e-14,1.3043001603239377e-08,2.142699851066476e-08,0.9999999655300011,1.0000000000000013,7.665139127421931e-13,1.2592264393076268e-12,5.876821222885436e-05,5.8768214254594715e-05
